"","level","Overall","0","1","p","test","Missing"
"n","","243","201","42","","",""
"pall_consult (%)","0","160 (66.7)","135 (68.2)","25 (59.5)","0.368","","1.2"
"","1","80 (33.3)","63 (31.8)","17 (40.5)","","",""
"code_status (%)","1","53 (69.7)","44 (72.1)","9 (60.0)","0.547","","68.7"
"","2","23 (30.3)","17 (27.9)","6 (40.0)","","",""
"ua_hrs (%)","0","17 (7.0)","15 (7.5)","2 (4.8)","0.765","","0.4"
"","1","225 (93.0)","185 (92.5)","40 (95.2)","","",""
"ua_na_hrs (%)","0","32 (13.3)","28 (14.1)","4 (9.5)","0.590","","0.8"
"","1","209 (86.7)","171 (85.9)","38 (90.5)","","",""
"ua_cr_hrs (%)","0","68 (28.2)","61 (30.7)","7 (16.7)","0.101","","0.8"
"","1","173 (71.8)","138 (69.3)","35 (83.3)","","",""
"ua_urea_hrs (%)","0","150 (63.6)","124 (63.9)","26 (61.9)","0.945","","2.9"
"","1","86 (36.4)","70 (36.1)","16 (38.1)","","",""
"ua_granularcasts_hrs (%)","0","149 (74.1)","121 (72.5)","28 (82.4)","0.324","","17.3"
"","1","52 (25.9)","46 (27.5)","6 (17.6)","","",""
