"","level","Overall","0","1","p","test","Missing"
"n","","243","220","23","","",""
"crystalloid_before_terli (%)","0","106 (44.2)","95 (43.8)","11 (47.8)","0.880","","1.2"
"","1","134 (55.8)","122 (56.2)","12 (52.2)","","",""
"nsbb_before_terli (%)","1","36 (15.1)","30 (14.0)","6 (26.1)","0.239","","2.1"
"","2","3 (1.3)","3 (1.4)","0 (0.0)","","",""
"","3","10 (4.2)","8 (3.7)","2 (8.7)","","",""
"","4","189 (79.4)","174 (80.9)","15 (65.2)","","",""
"mido_before_terli (%)","0","68 (28.1)","62 (28.3)","6 (26.1)","1.000","","0.4"
"","1","174 (71.9)","157 (71.7)","17 (73.9)","","",""
"oct_before_terli (%)","0","120 (49.6)","110 (50.2)","10 (43.5)","0.692","","0.4"
"","1","122 (50.4)","109 (49.8)","13 (56.5)","","",""
"ne_before_terli (%)","0","208 (86.0)","189 (86.3)","19 (82.6)","0.865","","0.4"
"","1","34 (14.0)","30 (13.7)","4 (17.4)","","",""
"gihep_consult (%)","0","24 (9.9)","23 (10.5)","1 (4.3)","0.567","","0.4"
"","1","218 (90.1)","196 (89.5)","22 (95.7)","","",""
"neph_consult (%)","0","23 (9.5)","23 (10.5)","0 (0.0)","0.208","","0.4"
"","1","219 (90.5)","196 (89.5)","23 (100.0)","","",""
"pall_consult (%)","0","160 (66.7)","148 (68.2)","12 (52.2)","0.188","","1.2"
"","1","80 (33.3)","69 (31.8)","11 (47.8)","","",""
"code_status (%)","1","53 (69.7)","47 (71.2)","6 (60.0)","0.726","","68.7"
"","2","23 (30.3)","19 (28.8)","4 (40.0)","","",""
"ua_hrs (%)","0","17 (7.0)","16 (7.3)","1 (4.3)","0.921","","0.4"
"","1","225 (93.0)","203 (92.7)","22 (95.7)","","",""
"ua_na_hrs (%)","0","32 (13.3)","32 (14.7)","0 (0.0)","0.099","","0.8"
"","1","209 (86.7)","186 (85.3)","23 (100.0)","","",""
"ua_cr_hrs (%)","0","68 (28.2)","65 (29.8)","3 (13.0)","0.145","","0.8"
"","1","173 (71.8)","153 (70.2)","20 (87.0)","","",""
